ablation_group,variant,channel_profile,seed,pilot_ratio,snr_db,velocity,pilot_pattern,nmse,mse,mae,pilot_consistency_error,doppler_robustness,runtime_seconds,num_parameters,delta_nmse_vs_base,contribution_label
architecture,PICASSO-rec + refinement + multi-scale + SE,CDL-B,42,0.1250,10,60,comb,0.82060000,0.41030000,0.50329743,0.00690953,0.82060000,5.7579,643658,-0.00408095,positive
architecture,PICASSO-rec-enhanced full architecture,CDL-B,42,0.1250,10,60,comb,0.82501389,0.41250695,0.50468804,0.00549506,0.82501389,5.9042,644042,0.00033294,neutral
architecture,PICASSO-rec-base,CDL-B,123,0.1250,10,60,comb,0.82380939,0.41190469,0.50395902,0.00538418,0.82380939,4.0416,445506,0.00000000,neutral
architecture,PICASSO-rec + refinement blocks only,CDL-B,123,0.1250,10,60,comb,0.81493582,0.40746791,0.50105186,0.00697980,0.81493582,5.2532,593218,-0.00887357,positive
architecture,PICASSO-rec + multi-scale fusion only,CDL-B,123,0.1250,10,60,comb,0.82454818,0.41227409,0.50423676,0.00599612,0.82454818,4.5338,494850,0.00073879,neutral
architecture,PICASSO-rec + SE attention only,CDL-B,123,0.1250,10,60,comb,0.82273404,0.41136702,0.50384861,0.00620634,0.82273404,4.0948,446602,-0.00107535,positive
architecture,PICASSO-rec + FiLM condition only,CDL-B,123,0.1250,10,60,comb,0.82995145,0.41497573,0.50599916,0.00539895,0.82995145,4.1655,445890,0.00614206,negative
architecture,PICASSO-rec + refinement + multi-scale,CDL-B,123,0.1250,10,60,comb,0.81602171,0.40801086,0.50149994,0.00756700,0.81602171,5.7281,642562,-0.00778768,positive
architecture,PICASSO-rec + refinement + multi-scale + SE,CDL-B,123,0.1250,10,60,comb,0.81415695,0.40707847,0.50105262,0.00874485,0.81415695,5.7626,643658,-0.00965244,positive
architecture,PICASSO-rec-enhanced full architecture,CDL-B,123,0.1250,10,60,comb,0.82152751,0.41076376,0.50340831,0.00701536,0.82152751,5.8935,644042,-0.00228188,positive
architecture,PICASSO-rec-base,CDL-B,2026,0.1250,10,60,comb,0.81925188,0.40962594,0.50230777,0.00639557,0.81925188,4.0467,445506,0.00000000,neutral
architecture,PICASSO-rec + refinement blocks only,CDL-B,2026,0.1250,10,60,comb,0.81336080,0.40668040,0.50053730,0.00843978,0.81336080,5.2266,593218,-0.00589108,positive
architecture,PICASSO-rec + multi-scale fusion only,CDL-B,2026,0.1250,10,60,comb,0.82162189,0.41081095,0.50310685,0.00594287,0.82162189,4.5420,494850,0.00237001,negative
architecture,PICASSO-rec + SE attention only,CDL-B,2026,0.1250,10,60,comb,0.82207400,0.41103700,0.50325292,0.00599331,0.82207400,4.1127,446602,0.00282212,negative
architecture,PICASSO-rec + FiLM condition only,CDL-B,2026,0.1250,10,60,comb,0.82606430,0.41303215,0.50456527,0.00594865,0.82606430,4.1470,445890,0.00681242,negative
architecture,PICASSO-rec + refinement + multi-scale,CDL-B,2026,0.1250,10,60,comb,0.81579202,0.40789601,0.50121553,0.00750119,0.81579202,5.7010,642562,-0.00345986,positive
architecture,PICASSO-rec + refinement + multi-scale + SE,CDL-B,2026,0.1250,10,60,comb,0.81424426,0.40712213,0.50085106,0.00826769,0.81424426,5.7758,643658,-0.00500762,positive
architecture,PICASSO-rec-enhanced full architecture,CDL-B,2026,0.1250,10,60,comb,0.82475084,0.41237542,0.50414076,0.00617365,0.82475084,5.8981,644042,0.00549896,negative
architecture,PICASSO-rec-base,CDL-C,42,0.1250,10,60,comb,0.86430368,0.43215184,0.51677588,0.00509293,0.86430368,4.0332,445506,0.00000000,neutral
architecture,PICASSO-rec + refinement blocks only,CDL-C,42,0.1250,10,60,comb,0.86378770,0.43189385,0.51658656,0.00524653,0.86378770,5.2154,593218,-0.00051598,neutral
architecture,PICASSO-rec + multi-scale fusion only,CDL-C,42,0.1250,10,60,comb,0.86443512,0.43221756,0.51680532,0.00517229,0.86443512,4.5074,494850,0.00013144,neutral
architecture,PICASSO-rec + SE attention only,CDL-C,42,0.1250,10,60,comb,0.86398585,0.43199293,0.51670867,0.00508853,0.86398585,4.0783,446602,-0.00031783,neutral
architecture,PICASSO-rec + FiLM condition only,CDL-C,42,0.1250,10,60,comb,0.86425239,0.43212619,0.51676613,0.00530731,0.86425239,4.1502,445890,-0.00005129,neutral
architecture,PICASSO-rec + refinement + multi-scale,CDL-C,42,0.1250,10,60,comb,0.86409001,0.43204501,0.51670860,0.00527900,0.86409001,5.6757,642562,-0.00021367,neutral
architecture,PICASSO-rec + refinement + multi-scale + SE,CDL-C,42,0.1250,10,60,comb,0.86401795,0.43200897,0.51671113,0.00501766,0.86401795,5.7327,643658,-0.00028573,neutral
architecture,PICASSO-rec-enhanced full architecture,CDL-C,42,0.1250,10,60,comb,0.86398375,0.43199188,0.51669742,0.00517296,0.86398375,5.9288,644042,-0.00031993,neutral
architecture,PICASSO-rec-base,CDL-C,123,0.1250,10,60,comb,0.86939903,0.43469951,0.51819147,0.00513933,0.86939903,4.0876,445506,0.00000000,neutral
architecture,PICASSO-rec + refinement blocks only,CDL-C,123,0.1250,10,60,comb,0.86802652,0.43401326,0.51763749,0.00504181,0.86802652,5.2535,593218,-0.00137251,positive
architecture,PICASSO-rec + multi-scale fusion only,CDL-C,123,0.1250,10,60,comb,0.86928454,0.43464227,0.51813063,0.00497402,0.86928454,4.5399,494850,-0.00011449,neutral
architecture,PICASSO-rec + SE attention only,CDL-C,123,0.1250,10,60,comb,0.86842801,0.43421400,0.51785368,0.00467788,0.86842801,4.1297,446602,-0.00097102,neutral
architecture,PICASSO-rec + FiLM condition only,CDL-C,123,0.1250,10,60,comb,0.86922589,0.43461294,0.51819707,0.00504250,0.86922589,4.1715,445890,-0.00017314,neutral
architecture,PICASSO-rec + refinement + multi-scale,CDL-C,123,0.1250,10,60,comb,0.86893468,0.43446734,0.51790112,0.00512119,0.86893468,5.7444,642562,-0.00046435,neutral
architecture,PICASSO-rec + refinement + multi-scale + SE,CDL-C,123,0.1250,10,60,comb,0.86755860,0.43377930,0.51752043,0.00456586,0.86755860,5.8049,643658,-0.00184043,positive
architecture,PICASSO-rec-enhanced full architecture,CDL-C,123,0.1250,10,60,comb,0.86852235,0.43426117,0.51786441,0.00465152,0.86852235,5.9187,644042,-0.00087668,neutral
architecture,PICASSO-rec-base,CDL-C,2026,0.1250,10,60,comb,0.86385630,0.43192815,0.51613636,0.00531129,0.86385630,4.0743,445506,0.00000000,neutral
architecture,PICASSO-rec + refinement blocks only,CDL-C,2026,0.1250,10,60,comb,0.86257315,0.43128657,0.51568441,0.00544559,0.86257315,5.2936,593218,-0.00128315,positive
architecture,PICASSO-rec + multi-scale fusion only,CDL-C,2026,0.1250,10,60,comb,0.86423779,0.43211889,0.51624800,0.00495277,0.86423779,4.5538,494850,0.00038149,neutral
architecture,PICASSO-rec + SE attention only,CDL-C,2026,0.1250,10,60,comb,0.86399354,0.43199677,0.51626807,0.00558886,0.86399354,4.1143,446602,0.00013724,neutral
architecture,PICASSO-rec + FiLM condition only,CDL-C,2026,0.1250,10,60,comb,0.86532412,0.43266206,0.51669283,0.00537076,0.86532412,4.1826,445890,0.00146782,negative
architecture,PICASSO-rec + refinement + multi-scale,CDL-C,2026,0.1250,10,60,comb,0.86330551,0.43165275,0.51591270,0.00548555,0.86330551,5.7230,642562,-0.00055079,neutral
architecture,PICASSO-rec + refinement + multi-scale + SE,CDL-C,2026,0.1250,10,60,comb,0.86110204,0.43055102,0.51522043,0.00521028,0.86110204,5.7775,643658,-0.00275426,positive
architecture,PICASSO-rec-enhanced full architecture,CDL-C,2026,0.1250,10,60,comb,0.86394656,0.43197328,0.51619370,0.00489798,0.86394656,5.9027,644042,0.00009026,neutral
