stage,seed,method,pilot_ratio,snr_db,nmse,mse,mae,pilot_consistency_error,delay_sparsity_score,epochs_used,train_samples,val_samples,test_samples,runtime_seconds,loss_mode,lambda_adv,lambda_pilot,lambda_smooth,lambda_sparse
stage3a_supervised_physics,42,PICASSO-rec-physics,0.2500,20,0.71518251,0.35759125,0.42582117,0.00073702,0.63065687,5,1024,256,512,1.1358,rec_physics,0.0,1.0,0.05,0.05
stage3a_supervised_physics,42,PICASSO-full-light-adv,0.2500,20,0.71564877,0.35782439,0.42631377,0.00075018,0.61956865,5,1024,256,512,1.7370,full,0.001,1.0,0.05,0.05
stage3a_supervised_physics,42,LS,0.2500,30,0.75037640,0.37518820,0.42828232,0.00000000,0.50583931,0,1024,256,512,0.0392,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,DnCNN,0.2500,30,0.73373298,0.36686649,0.42611958,0.00086050,0.52588898,5,1024,256,512,0.3124,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,Enhanced-DnCNN,0.2500,30,0.72785922,0.36392961,0.42831402,0.00322363,0.54595958,5,1024,256,512,0.8650,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,PICASSO-rec,0.2500,30,0.71022240,0.35511120,0.41618238,0.00034722,0.62489880,5,1024,256,512,1.1553,rec_only,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,PICASSO-rec-physics,0.2500,30,0.71217910,0.35608955,0.41663538,0.00032667,0.63056500,5,1024,256,512,1.1382,rec_physics,0.0,1.0,0.05,0.05
stage3a_supervised_physics,42,PICASSO-full-light-adv,0.2500,30,0.71429171,0.35714586,0.41800974,0.00039546,0.60622720,5,1024,256,512,1.7475,full,0.001,1.0,0.05,0.05
stage3a_supervised_physics,42,LS,0.1250,10,0.88725827,0.44362913,0.51677794,0.00000000,0.32930934,0,1024,256,512,0.0258,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,DnCNN,0.1250,10,0.88044072,0.44022036,0.51444633,0.00119311,0.35395521,5,1024,256,512,0.3146,,0.0,0.0,0.0,0.0
stage3a_supervised_physics,42,Enhanced-DnCNN,0.1250,10,0.87588479,0.43794240,0.51301625,0.00885073,0.39743499,5,1024,256,512,0.8678,,0.0,0.0,0.0,0.0
