stage,seed,method,pilot_ratio,snr_db,epoch,train_loss,val_nmse,learning_rate
stage3a_larger_training,42,PICASSO-cond-full,0.1250,10,7,0.52266735,0.86841887,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.1250,10,8,0.52437421,0.86768347,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.1250,10,9,0.52497377,0.86749674,0.00010000
stage3a_larger_training,42,PICASSO-cond-full,0.1250,10,10,0.52521870,0.86758681,0.00010000
stage3a_larger_training,42,DnCNN,0.1250,20,1,0.43820042,0.87524532,0.00010000
stage3a_larger_training,42,DnCNN,0.1250,20,2,0.43785428,0.87455016,0.00010000
stage3a_larger_training,42,DnCNN,0.1250,20,3,0.43745654,0.87351187,0.00010000
stage3a_larger_training,42,DnCNN,0.1250,20,4,0.43682469,0.87185499,0.00010000
stage3a_larger_training,42,DnCNN,0.1250,20,5,0.43583546,0.86926319,0.00010000
stage3a_larger_training,42,DnCNN,0.1250,20,6,0.43436938,0.86552532,0.00010000
stage3a_larger_training,42,DnCNN,0.1250,20,7,0.43262491,0.86165048,0.00010000
stage3a_larger_training,42,DnCNN,0.1250,20,8,0.43109435,0.85892326,0.00010000
stage3a_larger_training,42,DnCNN,0.1250,20,9,0.43018107,0.85757606,0.00010000
stage3a_larger_training,42,DnCNN,0.1250,20,10,0.42971010,0.85686719,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.1250,20,1,0.43883959,0.87572098,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.1250,20,2,0.43826239,0.87563197,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.1250,20,3,0.43816438,0.87532829,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.1250,20,4,0.43783673,0.87385799,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.1250,20,5,0.43632303,0.86810300,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.1250,20,6,0.43392284,0.86405130,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.1250,20,7,0.43253844,0.86143349,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.1250,20,8,0.43156423,0.85957846,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.1250,20,9,0.43078958,0.85845527,0.00010000
stage3a_larger_training,42,Enhanced-DnCNN,0.1250,20,10,0.43038217,0.85755460,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.1250,20,1,0.50444334,0.87167156,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.1250,20,2,0.49999005,0.86344463,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.1250,20,3,0.49767942,0.85780092,0.00010000
stage3a_larger_training,42,PICASSO-rec,0.1250,20,4,0.49643173,0.85628255,0.00010000
