ablation_type,condition,method,pilot_ratio,snr_db,velocity,channel_profile,pilot_pattern,nmse,mse,mae,doppler_robustness,runtime_seconds,source_stage,reused_or_new
robustness,pilot=0.5000; snr=30; profile=CDL-A; velocity=0; pattern=irregular,Enhanced-DnCNN,0.5000,30,0,CDL-A,irregular,0.50090504,0.25045252,0.29931755,0.50090504,0.2506,stage4,reused
robustness,pilot=0.5000; snr=30; profile=CDL-A; velocity=0; pattern=irregular,PICASSO-rec,0.5000,30,0,CDL-A,irregular,0.49149673,0.24574836,0.31024458,0.49149673,0.4533,stage4,reused
robustness,pilot=0.5000; snr=30; profile=CDL-A; velocity=0; pattern=irregular,PICASSO-rec-physics,0.5000,30,0,CDL-A,irregular,0.49241470,0.24620735,0.30868904,0.49241470,0.4562,stage4,reused
robustness,pilot=0.5000; snr=30; profile=CDL-A; velocity=60; pattern=irregular,LS,0.5000,30,60,CDL-A,irregular,0.50098825,0.25049413,0.29910409,0.50098825,0.0148,stage4,reused
robustness,pilot=0.5000; snr=30; profile=CDL-A; velocity=60; pattern=irregular,Enhanced-DnCNN,0.5000,30,60,CDL-A,irregular,0.49982326,0.24991163,0.29892983,0.49982326,0.2356,stage4,reused
robustness,pilot=0.5000; snr=30; profile=CDL-A; velocity=60; pattern=irregular,PICASSO-rec,0.5000,30,60,CDL-A,irregular,0.48687495,0.24343748,0.30888107,0.48687495,0.4557,stage4,reused
robustness,pilot=0.5000; snr=30; profile=CDL-A; velocity=60; pattern=irregular,PICASSO-rec-physics,0.5000,30,60,CDL-A,irregular,0.49746650,0.24873325,0.31114174,0.49746650,0.4537,stage4,reused
robustness,pilot=0.5000; snr=30; profile=CDL-A; velocity=120; pattern=irregular,LS,0.5000,30,120,CDL-A,irregular,0.50074300,0.25037150,0.29907426,0.18241915,0.0140,stage4,reused
robustness,pilot=0.5000; snr=30; profile=CDL-A; velocity=120; pattern=irregular,Enhanced-DnCNN,0.5000,30,120,CDL-A,irregular,0.50023635,0.25011817,0.29926068,0.18223440,0.2383,stage4,reused
robustness,pilot=0.5000; snr=30; profile=CDL-A; velocity=120; pattern=irregular,PICASSO-rec,0.5000,30,120,CDL-A,irregular,0.48653264,0.24326632,0.30837701,0.17723776,0.4477,stage4,reused
robustness,pilot=0.5000; snr=30; profile=CDL-A; velocity=120; pattern=irregular,PICASSO-rec-physics,0.5000,30,120,CDL-A,irregular,0.49218051,0.24609026,0.30993066,0.17929853,0.4582,stage4,reused
robustness,pilot=0.2500; snr=0; profile=CDL-A; velocity=0; pattern=block,LS,0.2500,0,0,CDL-A,block,0.99918035,0.49959017,0.57521190,0.99918035,0.0262,stage4,reused
robustness,pilot=0.2500; snr=0; profile=CDL-A; velocity=0; pattern=block,Enhanced-DnCNN,0.2500,0,0,CDL-A,block,0.99783370,0.49891685,0.57483807,0.99783370,0.2604,stage4,reused
