ablation_type,condition,method,pilot_ratio,snr_db,velocity,channel_profile,pilot_pattern,nmse,mse,mae,doppler_robustness,runtime_seconds,source_stage,reused_or_new
architecture,pilot=0.5000; snr=20,PICASSO-rec-base,0.5000,20,0,synthetic,comb,0.47106065,0.23553032,0.30500276,,0.4538,stage3b,reused
architecture,pilot=0.5000; snr=20,PICASSO-rec-enhanced,0.5000,20,0,synthetic,comb,0.46476965,0.23238482,0.30337122,,0.6354,stage3b,reused
architecture,pilot=0.5000; snr=20,PICASSO-rec-attn,0.5000,20,0,synthetic,comb,0.46075021,0.23037511,0.29920119,,0.6522,stage3b,reused
architecture,pilot=0.5000; snr=30,PICASSO-rec-base,0.5000,30,0,synthetic,comb,0.47414044,0.23707022,0.29550235,,0.4471,stage3b,reused
architecture,pilot=0.5000; snr=30,PICASSO-rec-enhanced,0.5000,30,0,synthetic,comb,0.46676121,0.23338060,0.29006872,,0.6249,stage3b,reused
architecture,pilot=0.5000; snr=30,PICASSO-rec-attn,0.5000,30,0,synthetic,comb,0.48455890,0.24227945,0.29166180,,0.6274,stage3b,reused
architecture,pilot=0.2500; snr=10,PICASSO-rec-base,0.2500,10,0,synthetic,comb,0.75704667,0.37852333,0.46283150,,0.4435,stage3b,reused
architecture,pilot=0.2500; snr=10,PICASSO-rec-enhanced,0.2500,10,0,synthetic,comb,0.73829548,0.36914774,0.45657746,,0.6245,stage3b,reused
architecture,pilot=0.2500; snr=10,PICASSO-rec-attn,0.2500,10,0,synthetic,comb,0.74527071,0.37263536,0.45887235,,0.6398,stage3b,reused
architecture,pilot=0.2500; snr=20,PICASSO-rec-base,0.2500,20,0,synthetic,comb,0.71907313,0.35953657,0.42885858,,0.4408,stage3b,reused
architecture,pilot=0.2500; snr=20,PICASSO-rec-enhanced,0.2500,20,0,synthetic,comb,0.73118638,0.36559319,0.43306497,,0.6218,stage3b,reused
architecture,pilot=0.2500; snr=20,PICASSO-rec-attn,0.2500,20,0,synthetic,comb,0.72533599,0.36266799,0.43058907,,0.6263,stage3b,reused
architecture,pilot=0.2500; snr=30,PICASSO-rec-base,0.2500,30,0,synthetic,comb,0.73543195,0.36771598,0.42742714,,0.4457,stage3b,reused
architecture,pilot=0.2500; snr=30,PICASSO-rec-enhanced,0.2500,30,0,synthetic,comb,0.73261401,0.36630701,0.42693964,,0.6247,stage3b,reused
architecture,pilot=0.2500; snr=30,PICASSO-rec-attn,0.2500,30,0,synthetic,comb,0.73433174,0.36716587,0.42495735,,0.6334,stage3b,reused
architecture,pilot=0.1250; snr=10,PICASSO-rec-base,0.1250,10,0,synthetic,comb,0.87957130,0.43978565,0.51457861,,0.4423,stage3b,reused
architecture,pilot=0.1250; snr=10,PICASSO-rec-enhanced,0.1250,10,0,synthetic,comb,0.87228300,0.43614150,0.51233672,,0.6200,stage3b,reused
architecture,pilot=0.1250; snr=10,PICASSO-rec-attn,0.1250,10,0,synthetic,comb,0.87365089,0.43682545,0.51265296,,0.6256,stage3b,reused
architecture,pilot=0.1250; snr=20,PICASSO-rec-base,0.1250,20,0,synthetic,comb,0.86917606,0.43458803,0.50051174,,0.4433,stage3b,reused
architecture,pilot=0.1250; snr=20,PICASSO-rec-enhanced,0.1250,20,0,synthetic,comb,0.86968426,0.43484213,0.50081682,,0.6310,stage3b,reused
architecture,pilot=0.1250; snr=20,PICASSO-rec-attn,0.1250,20,0,synthetic,comb,0.86206155,0.43103077,0.49789429,,0.6356,stage3b,reused
architecture,pilot=0.1250; snr=30,PICASSO-rec-base,0.1250,30,0,synthetic,comb,0.86618882,0.43309441,0.49540215,,0.4416,stage3b,reused
architecture,pilot=0.1250; snr=30,PICASSO-rec-enhanced,0.1250,30,0,synthetic,comb,0.86352067,0.43176033,0.49474847,,0.6274,stage3b,reused
architecture,pilot=0.1250; snr=30,PICASSO-rec-attn,0.1250,30,0,synthetic,comb,0.86936378,0.43468189,0.49621959,,0.6318,stage3b,reused
architecture,pilot=0.0625; snr=10,PICASSO-rec-base,0.0625,10,0,synthetic,comb,0.94075546,0.47037773,0.54027307,,0.4459,stage3b,reused
architecture,pilot=0.0625; snr=10,PICASSO-rec-enhanced,0.0625,10,0,synthetic,comb,0.93902519,0.46951260,0.53986865,,0.6281,stage3b,reused
architecture,pilot=0.0625; snr=10,PICASSO-rec-attn,0.0625,10,0,synthetic,comb,0.93800811,0.46900406,0.53938974,,0.6309,stage3b,reused
architecture,pilot=0.0625; snr=20,PICASSO-rec-base,0.0625,20,0,synthetic,comb,0.93720211,0.46860106,0.53380945,,0.4459,stage3b,reused
architecture,pilot=0.0625; snr=20,PICASSO-rec-enhanced,0.0625,20,0,synthetic,comb,0.93429691,0.46714845,0.53289486,,0.6263,stage3b,reused
architecture,pilot=0.0625; snr=20,PICASSO-rec-attn,0.0625,20,0,synthetic,comb,0.93568228,0.46784114,0.53309284,,0.6320,stage3b,reused
architecture,pilot=0.0625; snr=30,PICASSO-rec-base,0.0625,30,0,synthetic,comb,0.93402056,0.46701028,0.53087778,,0.4466,stage3b,reused
architecture,pilot=0.0625; snr=30,PICASSO-rec-enhanced,0.0625,30,0,synthetic,comb,0.93499328,0.46749664,0.53145713,,0.6273,stage3b,reused
architecture,pilot=0.0625; snr=30,PICASSO-rec-attn,0.0625,30,0,synthetic,comb,0.93532954,0.46766477,0.53083682,,0.6269,stage3b,reused
architecture,seed=42; pilot=0.125; snr=10.0,PICASSO-rec-base,0.125,10.0,0,random-path synthetic OFDM,comb,0.88627642,0.44313821,0.51694161,,1.5497,stage5a_supplemental,new
architecture,seed=42; pilot=0.125; snr=10.0,PICASSO-rec-refinement,0.125,10.0,0,random-path synthetic OFDM,comb,0.89764765,0.44882382,0.52172458,,0.1973,stage5a_supplemental,new
architecture,seed=42; pilot=0.125; snr=10.0,PICASSO-rec-multiscale,0.125,10.0,0,random-path synthetic OFDM,comb,0.88837078,0.44418539,0.51836762,,0.1773,stage5a_supplemental,new
architecture,seed=42; pilot=0.125; snr=10.0,PICASSO-rec-SE,0.125,10.0,0,random-path synthetic OFDM,comb,0.88570252,0.44285126,0.51661962,,0.1659,stage5a_supplemental,new
architecture,seed=42; pilot=0.125; snr=10.0,PICASSO-rec-enhanced,0.125,10.0,0,random-path synthetic OFDM,comb,0.88578171,0.44289085,0.51666519,,0.2172,stage5a_supplemental,new
architecture,seed=42; pilot=0.125; snr=10.0,PICASSO-rec-attn,0.125,10.0,0,random-path synthetic OFDM,comb,0.88552877,0.44276439,0.51651803,,0.2155,stage5a_supplemental,new
architecture,seed=42; pilot=0.125; snr=10.0,PICASSO-rec-FiLM,0.125,10.0,0,random-path synthetic OFDM,comb,0.88857010,0.44428505,0.51797706,,0.2365,stage5a_supplemental,new
architecture,seed=123; pilot=0.125; snr=10.0,PICASSO-rec-base,0.125,10.0,0,random-path synthetic OFDM,comb,0.89116991,0.44558495,0.51979202,,0.1544,stage5a_supplemental,new
architecture,seed=123; pilot=0.125; snr=10.0,PICASSO-rec-refinement,0.125,10.0,0,random-path synthetic OFDM,comb,0.88482624,0.44241312,0.51709419,,0.1963,stage5a_supplemental,new
architecture,seed=123; pilot=0.125; snr=10.0,PICASSO-rec-multiscale,0.125,10.0,0,random-path synthetic OFDM,comb,0.88683131,0.44341566,0.51757649,,0.1711,stage5a_supplemental,new
architecture,seed=123; pilot=0.125; snr=10.0,PICASSO-rec-SE,0.125,10.0,0,random-path synthetic OFDM,comb,0.88619959,0.44309980,0.51735100,,0.1544,stage5a_supplemental,new
architecture,seed=123; pilot=0.125; snr=10.0,PICASSO-rec-enhanced,0.125,10.0,0,random-path synthetic OFDM,comb,0.88979536,0.44489768,0.51880181,,0.2133,stage5a_supplemental,new
architecture,seed=123; pilot=0.125; snr=10.0,PICASSO-rec-attn,0.125,10.0,0,random-path synthetic OFDM,comb,0.88463950,0.44231975,0.51694781,,0.2172,stage5a_supplemental,new
architecture,seed=123; pilot=0.125; snr=10.0,PICASSO-rec-FiLM,0.125,10.0,0,random-path synthetic OFDM,comb,0.89188999,0.44594499,0.51965252,,0.2247,stage5a_supplemental,new
