ablation_type,condition,method,pilot_ratio,snr_db,velocity,channel_profile,pilot_pattern,nmse,mse,mae,doppler_robustness,runtime_seconds,source_stage,reused_or_new
loss,pilot=0.0625; snr=10,rec + full physics,0.0625,10,0,synthetic,comb,0.94135027,0.47067513,0.54043587,,0.6325,stage3b,reused
loss,pilot=0.0625; snr=20,rec only,0.0625,20,0,synthetic,comb,0.93720211,0.46860106,0.53380945,,0.4459,stage3b,reused
loss,pilot=0.0625; snr=20,rec + full physics,0.0625,20,0,synthetic,comb,0.93426122,0.46713061,0.53267299,,0.6327,stage3b,reused
loss,pilot=0.0625; snr=30,rec only,0.0625,30,0,synthetic,comb,0.93402056,0.46701028,0.53087778,,0.4466,stage3b,reused
loss,pilot=0.0625; snr=30,rec + full physics,0.0625,30,0,synthetic,comb,0.93613128,0.46806564,0.53115906,,0.6275,stage3b,reused
loss,seed=42; pilot=0.125; snr=10.0,rec only,0.125,10.0,0,random-path synthetic OFDM,comb,0.88441932,0.44220966,0.51640028,,0.2155,stage5a_supplemental,new
loss,seed=42; pilot=0.125; snr=10.0,rec + pilot consistency,0.125,10.0,0,random-path synthetic OFDM,comb,0.88969302,0.44484651,0.51801488,,0.2165,stage5a_supplemental,new
loss,seed=42; pilot=0.125; snr=10.0,rec + frequency consistency,0.125,10.0,0,random-path synthetic OFDM,comb,0.88743484,0.44371742,0.51708692,,0.2161,stage5a_supplemental,new
loss,seed=42; pilot=0.125; snr=10.0,rec + delay-domain sparsity,0.125,10.0,0,random-path synthetic OFDM,comb,0.88522983,0.44261491,0.51644537,,0.2130,stage5a_supplemental,new
loss,seed=42; pilot=0.125; snr=10.0,rec + energy preservation,0.125,10.0,0,random-path synthetic OFDM,comb,0.88408285,0.44204143,0.51629183,,0.2145,stage5a_supplemental,new
loss,seed=42; pilot=0.125; snr=10.0,rec + pilot + frequency,0.125,10.0,0,random-path synthetic OFDM,comb,0.89263606,0.44631803,0.51908112,,0.2139,stage5a_supplemental,new
loss,seed=42; pilot=0.125; snr=10.0,rec + pilot + delay,0.125,10.0,0,random-path synthetic OFDM,comb,0.88643110,0.44321555,0.51665813,,0.2138,stage5a_supplemental,new
loss,seed=42; pilot=0.125; snr=10.0,rec + full physics,0.125,10.0,0,random-path synthetic OFDM,comb,0.88985783,0.44492891,0.51792911,,0.2148,stage5a_supplemental,new
loss,seed=123; pilot=0.125; snr=10.0,rec only,0.125,10.0,0,random-path synthetic OFDM,comb,0.88623482,0.44311741,0.51757315,,0.2150,stage5a_supplemental,new
loss,seed=123; pilot=0.125; snr=10.0,rec + pilot consistency,0.125,10.0,0,random-path synthetic OFDM,comb,0.88760111,0.44380055,0.51775280,,0.2147,stage5a_supplemental,new
loss,seed=123; pilot=0.125; snr=10.0,rec + frequency consistency,0.125,10.0,0,random-path synthetic OFDM,comb,0.88716125,0.44358063,0.51777688,,0.2149,stage5a_supplemental,new
loss,seed=123; pilot=0.125; snr=10.0,rec + delay-domain sparsity,0.125,10.0,0,random-path synthetic OFDM,comb,0.89780462,0.44890231,0.52212662,,0.2162,stage5a_supplemental,new
loss,seed=123; pilot=0.125; snr=10.0,rec + energy preservation,0.125,10.0,0,random-path synthetic OFDM,comb,0.88674936,0.44337468,0.51803768,,0.2150,stage5a_supplemental,new
loss,seed=123; pilot=0.125; snr=10.0,rec + pilot + frequency,0.125,10.0,0,random-path synthetic OFDM,comb,0.89135569,0.44567785,0.51944673,,0.2162,stage5a_supplemental,new
loss,seed=123; pilot=0.125; snr=10.0,rec + pilot + delay,0.125,10.0,0,random-path synthetic OFDM,comb,0.88360915,0.44180457,0.51642415,,0.2166,stage5a_supplemental,new
loss,seed=123; pilot=0.125; snr=10.0,rec + full physics,0.125,10.0,0,random-path synthetic OFDM,comb,0.89470208,0.44735104,0.52025211,,0.2170,stage5a_supplemental,new
