stage,seed,method,pilot_ratio,snr_db,nmse,mse,mae,pilot_consistency_error,delay_sparsity_score,epochs_used,loss_mode,use_attention,use_condition,feature_discriminator,runtime_seconds
stage3b_incremental,42,PICASSO-rec-attn,0.2500,20,0.74054734,0.37027367,0.43492313,0.00047558,0.51348922,3,rec_only,True,False,False,0.6314
stage3b_incremental,42,PICASSO-rec-physics-enhanced,0.2500,20,0.73924853,0.36962426,0.43453193,0.00056151,0.51638074,3,rec_physics,True,False,False,0.6328
stage3b_incremental,42,PICASSO-full-feature,0.2500,20,0.73174533,0.36587267,0.43209155,0.00039887,0.53562754,3,full,True,False,True,0.8599
stage3b_incremental,42,PICASSO-cond-full-feature,0.2500,20,0.74233107,0.37116554,0.43537301,0.00044392,0.51104027,3,full,True,True,True,0.8755
stage3b_incremental,42,LS,0.2500,30,0.75051120,0.37525560,0.42837804,0.00000000,0.50065254,0,,False,False,False,0.0129
stage3b_incremental,42,DnCNN,0.2500,30,0.74849257,0.37424628,0.42806302,0.00006525,0.50280483,3,,False,False,False,0.0824
stage3b_incremental,42,Enhanced-DnCNN,0.2500,30,0.75046329,0.37523165,0.42860545,0.00005671,0.50098516,3,,False,False,False,0.2304
stage3b_incremental,42,PICASSO-rec-base,0.2500,30,0.73512588,0.36756294,0.42648946,0.00090347,0.52489701,3,rec_only,False,False,False,0.4430
stage3b_incremental,42,PICASSO-rec-enhanced,0.2500,30,0.73046042,0.36523021,0.42428546,0.00056144,0.53616275,3,rec_only,False,False,False,0.6259
stage3b_incremental,42,PICASSO-rec-attn,0.2500,30,0.73545335,0.36772668,0.42485704,0.00023491,0.52105162,3,rec_only,True,False,False,0.6329
stage3b_incremental,42,PICASSO-rec-physics-enhanced,0.2500,30,0.74609256,0.37304628,0.42884444,0.00048729,0.50790822,3,rec_physics,True,False,False,0.6325
stage3b_incremental,42,PICASSO-full-feature,0.2500,30,0.74071154,0.37035577,0.42634045,0.00020976,0.51396233,3,full,True,False,True,0.8581
stage3b_incremental,42,PICASSO-cond-full-feature,0.2500,30,0.74453428,0.37226714,0.42740346,0.00018930,0.50860062,3,full,True,True,True,0.8964
stage3b_incremental,42,LS,0.1250,10,0.88732347,0.44366173,0.51702781,0.00000000,0.32619677,0,,False,False,False,0.0103
stage3b_incremental,42,DnCNN,0.1250,10,0.88714536,0.44357268,0.51697904,0.00012003,0.32843236,3,,False,False,False,0.1167
stage3b_incremental,42,Enhanced-DnCNN,0.1250,10,0.88720456,0.44360228,0.51699069,0.00001318,0.32714330,3,,False,False,False,0.2358
stage3b_incremental,42,PICASSO-rec-base,0.1250,10,0.87485223,0.43742611,0.51273759,0.00708860,0.40590051,3,rec_only,False,False,False,0.4453
