stage,method,loss_mode,use_condition,pilot_ratio,snr_db,seed,nmse,mse,mae,pilot_consistency_error,delay_sparsity_score,epochs,num_train_samples,runtime_seconds
stage2bc_comprehensive,PICASSO-rec-adv,rec_adv,False,0.0625,10,42,0.94341864,0.47170932,0.54090172,0.00638539,0.25660606,3,512,0.3324
stage2bc_comprehensive,PICASSO-full,full,False,0.0625,10,42,0.94325303,0.47162651,0.54076877,0.00404026,0.23878732,3,512,0.4790
stage2bc_comprehensive,PICASSO-cond-full,full,True,0.0625,10,42,0.94053927,0.47026964,0.53987068,0.00542551,0.26362749,3,512,0.4823
stage2bc_comprehensive,LS,,False,0.0625,20,42,0.93820453,0.46910226,0.53347033,0.00000000,0.21247579,0,512,0.0112
stage2bc_comprehensive,DnCNN,,False,0.0625,20,42,0.93839702,0.46919851,0.53367719,0.00059223,0.22280927,3,512,0.0871
stage2bc_comprehensive,Cond-DnCNN,,True,0.0625,20,42,0.93867892,0.46933946,0.53374498,0.00036745,0.22185721,3,512,0.0904
stage2bc_comprehensive,Enhanced-DnCNN,,False,0.0625,20,42,0.93826242,0.46913121,0.53350365,0.00004392,0.21661196,3,512,0.2285
stage2bc_comprehensive,PICASSO-rec,rec_only,False,0.0625,20,42,0.93945402,0.46972701,0.53466018,0.00318367,0.24450359,3,512,0.2152
stage2bc_comprehensive,PICASSO-rec-physics,rec_physics,False,0.0625,20,42,0.93734942,0.46867471,0.53362401,0.00172643,0.25015334,3,512,0.2186
stage2bc_comprehensive,PICASSO-rec-adv,rec_adv,False,0.0625,20,42,0.93797822,0.46898911,0.53418253,0.00300862,0.25123049,3,512,0.3324
stage2bc_comprehensive,PICASSO-full,full,False,0.0625,20,42,0.93812631,0.46906316,0.53381176,0.00166578,0.24826189,3,512,0.4734
stage2bc_comprehensive,PICASSO-cond-full,full,True,0.0625,20,42,0.93676701,0.46838351,0.53323245,0.00085575,0.24439906,3,512,0.4837
stage2bc_comprehensive,LS,,False,0.2500,10,123,0.77496670,0.38748335,0.46879683,0.00000000,0.46708929,0,512,0.0111
stage2bc_comprehensive,DnCNN,,False,0.2500,10,123,0.77382642,0.38691321,0.46849325,0.00007751,0.46836253,3,512,0.0896
stage2bc_comprehensive,Cond-DnCNN,,True,0.2500,10,123,0.77323863,0.38661931,0.46832115,0.00005766,0.46864896,3,512,0.0888
stage2bc_comprehensive,Enhanced-DnCNN,,False,0.2500,10,123,0.77411726,0.38705863,0.46852273,0.00000817,0.46771728,3,512,0.2307
stage2bc_comprehensive,PICASSO-rec,rec_only,False,0.2500,10,123,0.76388255,0.38194127,0.46509448,0.00439099,0.48206162,3,512,0.2149
stage2bc_comprehensive,PICASSO-rec-physics,rec_physics,False,0.2500,10,123,0.77537787,0.38768893,0.46886085,0.00447521,0.47333143,3,512,0.2123
stage2bc_comprehensive,PICASSO-rec-adv,rec_adv,False,0.2500,10,123,0.75615612,0.37807806,0.46246832,0.00524206,0.48960853,3,512,0.3289
stage2bc_comprehensive,PICASSO-full,full,False,0.2500,10,123,0.75823915,0.37911958,0.46293629,0.00710787,0.48967000,3,512,0.4749
stage2bc_comprehensive,PICASSO-cond-full,full,True,0.2500,10,123,0.76039505,0.38019753,0.46345513,0.00495492,0.48358943,3,512,0.4892
stage2bc_comprehensive,LS,,False,0.2500,20,123,0.75229292,0.37614646,0.43813334,0.00000000,0.49645359,0,512,0.0101
stage2bc_comprehensive,DnCNN,,False,0.2500,20,123,0.75289963,0.37644982,0.43938349,0.00089416,0.49639038,3,512,0.0869
stage2bc_comprehensive,Cond-DnCNN,,True,0.2500,20,123,0.75021116,0.37510558,0.43758789,0.00004058,0.49837297,3,512,0.0941
stage2bc_comprehensive,Enhanced-DnCNN,,False,0.2500,20,123,0.75141542,0.37570771,0.43788548,0.00001033,0.49720600,3,512,0.2325
stage2bc_comprehensive,PICASSO-rec,rec_only,False,0.2500,20,123,0.73768012,0.36884006,0.43512716,0.00116273,0.51731224,3,512,0.2155
stage2bc_comprehensive,PICASSO-rec-physics,rec_physics,False,0.2500,20,123,0.74291386,0.37145693,0.43730109,0.00188817,0.50870694,3,512,0.2144
stage2bc_comprehensive,PICASSO-rec-adv,rec_adv,False,0.2500,20,123,0.74588153,0.37294076,0.43850051,0.00221577,0.50818688,3,512,0.3271
stage2bc_comprehensive,PICASSO-full,full,False,0.2500,20,123,0.74194093,0.37097047,0.43686260,0.00186092,0.50900844,3,512,0.4839
stage2bc_comprehensive,PICASSO-cond-full,full,True,0.2500,20,123,0.74139503,0.37069751,0.43603304,0.00117834,0.50986330,3,512,0.4844
stage2bc_comprehensive,LS,,False,0.1250,10,123,0.88731486,0.44365743,0.51722845,0.00000000,0.32558686,0,512,0.0106
stage2bc_comprehensive,DnCNN,,False,0.1250,10,123,0.88742131,0.44371065,0.51728091,0.00028507,0.32804410,3,512,0.0831
stage2bc_comprehensive,Cond-DnCNN,,True,0.1250,10,123,0.88676958,0.44338479,0.51707487,0.00015455,0.32826187,3,512,0.0929
stage2bc_comprehensive,Enhanced-DnCNN,,False,0.1250,10,123,0.88743274,0.44371637,0.51729377,0.00013163,0.32681230,3,512,0.2314
stage2bc_comprehensive,PICASSO-rec,rec_only,False,0.1250,10,123,0.88369009,0.44184504,0.51604509,0.00428152,0.34668940,3,512,0.2174
stage2bc_comprehensive,PICASSO-rec-physics,rec_physics,False,0.1250,10,123,0.88584292,0.44292146,0.51660700,0.00488655,0.34368964,3,512,0.2154
stage2bc_comprehensive,PICASSO-rec-adv,rec_adv,False,0.1250,10,123,0.87863335,0.43931668,0.51420760,0.00469179,0.36737195,3,512,0.3292
stage2bc_comprehensive,PICASSO-full,full,False,0.1250,10,123,0.88014314,0.44007157,0.51467304,0.00652403,0.35757329,3,512,0.4855
stage2bc_comprehensive,PICASSO-cond-full,full,True,0.1250,10,123,0.88029014,0.44014507,0.51458475,0.00516192,0.35599476,3,512,0.4849
stage2bc_comprehensive,LS,,False,0.1250,20,123,0.87582076,0.43791038,0.50178413,0.00000000,0.34063166,0,512,0.0108
stage2bc_comprehensive,DnCNN,,False,0.1250,20,123,0.87531459,0.43765730,0.50167675,0.00005521,0.34287786,3,512,0.0809
stage2bc_comprehensive,Cond-DnCNN,,True,0.1250,20,123,0.87557690,0.43778845,0.50176370,0.00007661,0.34254603,3,512,0.0878
stage2bc_comprehensive,Enhanced-DnCNN,,False,0.1250,20,123,0.87567917,0.43783958,0.50174798,0.00000587,0.34135595,3,512,0.2281
stage2bc_comprehensive,PICASSO-rec,rec_only,False,0.1250,20,123,0.86813045,0.43406522,0.50028996,0.00141448,0.37621985,3,512,0.2153
stage2bc_comprehensive,PICASSO-rec-physics,rec_physics,False,0.1250,20,123,0.87595309,0.43797655,0.50339100,0.00309393,0.35715846,3,512,0.2180
stage2bc_comprehensive,PICASSO-rec-adv,rec_adv,False,0.1250,20,123,0.87538499,0.43769249,0.50269946,0.00186995,0.35881463,3,512,0.3303
stage2bc_comprehensive,PICASSO-full,full,False,0.1250,20,123,0.87271017,0.43635508,0.50164683,0.00162227,0.36013585,3,512,0.4771
stage2bc_comprehensive,PICASSO-cond-full,full,True,0.1250,20,123,0.86937025,0.43468513,0.50034868,0.00101561,0.36930129,3,512,0.4825
stage2bc_comprehensive,LS,,False,0.0625,10,123,0.94380659,0.47190329,0.54137406,0.00000000,0.20950548,0,512,0.0098
stage2bc_comprehensive,DnCNN,,False,0.0625,10,123,0.94366735,0.47183368,0.54133227,0.00009521,0.21524373,3,512,0.0848
stage2bc_comprehensive,Cond-DnCNN,,True,0.0625,10,123,0.94409126,0.47204563,0.54146828,0.00025340,0.21861565,3,512,0.0858
stage2bc_comprehensive,Enhanced-DnCNN,,False,0.0625,10,123,0.94389826,0.47194913,0.54140143,0.00010026,0.21326482,3,512,0.2289
stage2bc_comprehensive,PICASSO-rec,rec_only,False,0.0625,10,123,0.94350922,0.47175461,0.54124312,0.00343556,0.24612450,3,512,0.2145
stage2bc_comprehensive,PICASSO-rec-physics,rec_physics,False,0.0625,10,123,0.94052792,0.47026396,0.54019094,0.00744335,0.27111565,3,512,0.2169
stage2bc_comprehensive,PICASSO-rec-adv,rec_adv,False,0.0625,10,123,0.94546461,0.47273231,0.54197834,0.00375741,0.25643533,3,512,0.3307
stage2bc_comprehensive,PICASSO-full,full,False,0.0625,10,123,0.94084689,0.47042345,0.54040444,0.00390195,0.26589263,3,512,0.4800
stage2bc_comprehensive,PICASSO-cond-full,full,True,0.0625,10,123,0.94193695,0.47096848,0.54069218,0.00355800,0.24526758,3,512,0.4842
stage2bc_comprehensive,LS,,False,0.0625,20,123,0.93809909,0.46904954,0.53367727,0.00000000,0.21278274,0,512,0.0112
stage2bc_comprehensive,DnCNN,,False,0.0625,20,123,0.93810482,0.46905241,0.53372499,0.00011594,0.21907682,3,512,0.0868
stage2bc_comprehensive,Cond-DnCNN,,True,0.0625,20,123,0.93799922,0.46899961,0.53368102,0.00011300,0.21629161,3,512,0.0880
stage2bc_comprehensive,Enhanced-DnCNN,,False,0.0625,20,123,0.93809149,0.46904574,0.53367355,0.00001318,0.21499422,3,512,0.2298
stage2bc_comprehensive,PICASSO-rec,rec_only,False,0.0625,20,123,0.93486609,0.46743304,0.53309442,0.00119588,0.27077194,3,512,0.2142
stage2bc_comprehensive,PICASSO-rec-physics,rec_physics,False,0.0625,20,123,0.93705985,0.46852992,0.53380603,0.00186256,0.24942281,3,512,0.2133
stage2bc_comprehensive,PICASSO-rec-adv,rec_adv,False,0.0625,20,123,0.93956016,0.46978008,0.53489670,0.00308750,0.25403474,3,512,0.3343
stage2bc_comprehensive,PICASSO-full,full,False,0.0625,20,123,0.93831645,0.46915822,0.53412253,0.00162200,0.24406730,3,512,0.4790
stage2bc_comprehensive,PICASSO-cond-full,full,True,0.0625,20,123,0.93661080,0.46830540,0.53346419,0.00102717,0.24874040,3,512,0.4813
