ablation_type,condition,method,pilot_ratio,snr_db,velocity,channel_profile,pilot_pattern,nmse,mse,mae,doppler_robustness,runtime_seconds,source_stage,reused_or_new
model,pilot=0.1250; snr=20,LS,0.1250,20,0,synthetic,comb,0.87587477,0.43793739,0.50164165,,0.0200,stage3a_larger,reused
model,pilot=0.1250; snr=20,DnCNN,0.1250,20,0,synthetic,comb,0.85771239,0.42885619,0.49708978,,0.7970,stage3a_larger,reused
model,pilot=0.1250; snr=20,Enhanced-DnCNN,0.1250,20,0,synthetic,comb,0.85520093,0.42760047,0.49549251,,1.9432,stage3a_larger,reused
model,pilot=0.1250; snr=20,PICASSO-rec,0.1250,20,0,synthetic,comb,0.85311320,0.42655660,0.49427177,,3.4370,stage3a_larger,reused
model,pilot=0.1250; snr=20,PICASSO-rec-physics,0.1250,20,0,synthetic,comb,0.85367788,0.42683894,0.49452652,,3.4565,stage3a_larger,reused
model,pilot=0.1250; snr=20,PICASSO-full,0.1250,20,0,synthetic,comb,0.85368532,0.42684266,0.49444025,,5.3882,stage3a_larger,reused
model,pilot=0.1250; snr=20,PICASSO-cond-full,0.1250,20,0,synthetic,comb,0.85372247,0.42686123,0.49439716,,5.3690,stage3a_larger,reused
model,pilot=0.0625; snr=10,LS,0.0625,10,0,synthetic,comb,0.94368947,0.47184473,0.54119308,,0.0187,stage3a_larger,reused
model,pilot=0.0625; snr=10,DnCNN,0.0625,10,0,synthetic,comb,0.93622698,0.46811349,0.53868318,,0.9228,stage3a_larger,reused
model,pilot=0.0625; snr=10,Enhanced-DnCNN,0.0625,10,0,synthetic,comb,0.93506769,0.46753385,0.53829808,,2.1069,stage3a_larger,reused
model,pilot=0.0625; snr=10,PICASSO-rec,0.0625,10,0,synthetic,comb,0.93372422,0.46686211,0.53765818,,3.6129,stage3a_larger,reused
model,pilot=0.0625; snr=10,PICASSO-rec-physics,0.0625,10,0,synthetic,comb,0.93423274,0.46711637,0.53780729,,3.7292,stage3a_larger,reused
model,pilot=0.0625; snr=10,PICASSO-full,0.0625,10,0,synthetic,comb,0.93415136,0.46707568,0.53778161,,5.4509,stage3a_larger,reused
model,pilot=0.0625; snr=10,PICASSO-cond-full,0.0625,10,0,synthetic,comb,0.93405104,0.46702552,0.53775544,,5.3669,stage3a_larger,reused
model,pilot=0.0625; snr=20,LS,0.0625,20,0,synthetic,comb,0.93803037,0.46901518,0.53353553,,0.0204,stage3a_larger,reused
model,pilot=0.0625; snr=20,DnCNN,0.0625,20,0,synthetic,comb,0.93013354,0.46506677,0.53125918,,0.7639,stage3a_larger,reused
model,pilot=0.0625; snr=20,Enhanced-DnCNN,0.0625,20,0,synthetic,comb,0.92894900,0.46447450,0.53087998,,1.9159,stage3a_larger,reused
model,pilot=0.0625; snr=20,PICASSO-rec,0.0625,20,0,synthetic,comb,0.92789339,0.46394669,0.53025367,,3.4764,stage3a_larger,reused
model,pilot=0.0625; snr=20,PICASSO-rec-physics,0.0625,20,0,synthetic,comb,0.92819146,0.46409573,0.53040469,,3.4400,stage3a_larger,reused
model,pilot=0.0625; snr=20,PICASSO-full,0.0625,20,0,synthetic,comb,0.92833921,0.46416960,0.53040886,,5.3518,stage3a_larger,reused
model,pilot=0.0625; snr=20,PICASSO-cond-full,0.0625,20,0,synthetic,comb,0.92852552,0.46426276,0.53046385,,5.4960,stage3a_larger,reused
