stage,method,profile,pilot_pattern,seed,pilot_ratio,snr_db,velocity_kmh,nmse,mse,mae,pilot_consistency_error,delay_domain_sparsity_score,doppler_robustness_metric,runtime_seconds
stage4_cdl,PICASSO-rec-physics,CDL-A,irregular,42,0.5000,30,60,0.49746650,0.24873325,0.31114174,0.00302302,0.50493619,0.49746650,0.4537
stage4_cdl,LS,CDL-A,irregular,42,0.5000,30,120,0.50074300,0.25037150,0.29907426,0.00000000,0.49913926,0.18241915,0.0140
stage4_cdl,LMMSE-like,CDL-A,irregular,42,0.5000,30,120,1.12509209,0.56254604,0.43761065,0.00000000,0.44894999,0.40983536,1.5588
stage4_cdl,Enhanced-DnCNN,CDL-A,irregular,42,0.5000,30,120,0.50023635,0.25011817,0.29926068,0.00003930,0.49962952,0.18223440,0.2383
stage4_cdl,PICASSO-rec,CDL-A,irregular,42,0.5000,30,120,0.48653264,0.24326632,0.30837701,0.00318133,0.51553796,0.17723776,0.4477
stage4_cdl,PICASSO-rec-physics,CDL-A,irregular,42,0.5000,30,120,0.49218051,0.24609026,0.30993066,0.00311196,0.50936638,0.17929853,0.4582
stage4_cdl,LS,CDL-A,block,42,0.2500,0,0,0.99918035,0.49959017,0.57521190,0.00000000,0.39626300,0.99918035,0.0262
stage4_cdl,LMMSE-like,CDL-A,block,42,0.2500,0,0,2.47199088,1.23599544,0.87352656,0.00000000,0.72060885,2.47199088,1.5960
stage4_cdl,Enhanced-DnCNN,CDL-A,block,42,0.2500,0,0,0.99783370,0.49891685,0.57483807,0.00019974,0.39621345,0.99783370,0.2604
stage4_cdl,PICASSO-rec,CDL-A,block,42,0.2500,0,0,0.89667949,0.44833975,0.54217215,0.13602771,0.40391335,0.89667949,0.4485
stage4_cdl,PICASSO-rec-physics,CDL-A,block,42,0.2500,0,0,0.94276620,0.47138310,0.55811623,0.03552596,0.39115161,0.94276620,0.4534
stage4_cdl,LS,CDL-A,block,42,0.2500,0,60,0.99914871,0.49957436,0.57521832,0.00000000,0.39614171,0.99914871,0.0135
stage4_cdl,LMMSE-like,CDL-A,block,42,0.2500,0,60,2.48188037,1.24094018,0.87466811,0.00000000,0.72016470,2.48188037,1.6148
stage4_cdl,Enhanced-DnCNN,CDL-A,block,42,0.2500,0,60,0.99654759,0.49827380,0.57447608,0.00007111,0.39611365,0.99654759,0.2370
stage4_cdl,PICASSO-rec,CDL-A,block,42,0.2500,0,60,0.92343365,0.46171682,0.55171314,0.06884112,0.40441626,0.92343365,0.4557
stage4_cdl,PICASSO-rec-physics,CDL-A,block,42,0.2500,0,60,0.94037804,0.47018902,0.55739892,0.03586728,0.39338057,0.94037804,0.4639
stage4_cdl,LS,CDL-A,block,42,0.2500,0,120,0.99912000,0.49956000,0.57526882,0.00000000,0.39568982,0.36398830,0.0174
stage4_cdl,LMMSE-like,CDL-A,block,42,0.2500,0,120,2.48534983,1.24267492,0.87543839,0.00000000,0.72047673,0.90543456,1.7762
stage4_cdl,Enhanced-DnCNN,CDL-A,block,42,0.2500,0,120,0.99717608,0.49858804,0.57471165,0.00003009,0.39575738,0.36328010,0.2457
stage4_cdl,PICASSO-rec,CDL-A,block,42,0.2500,0,120,0.88258491,0.44129246,0.53745089,0.24693342,0.42590264,0.32152438,0.4615
stage4_cdl,PICASSO-rec-physics,CDL-A,block,42,0.2500,0,120,0.93420298,0.46710149,0.55548981,0.04104203,0.39492055,0.34033713,0.4586
stage4_cdl,LS,CDL-A,block,42,0.2500,10,0,0.77498215,0.38749108,0.47903230,0.00000000,0.56325422,0.77498215,0.0132
