ablation_group,variant,channel_profile,seed,pilot_ratio,snr_db,velocity,pilot_pattern,nmse,mse,mae,pilot_consistency_error,doppler_robustness,runtime_seconds,num_parameters,delta_nmse_vs_base,contribution_label
loss,PICASSO-rec-full physics,CDL-B,42,0.1250,10,60,comb,0.82665610,0.41332805,0.50525488,0.00378273,0.82665610,4.0635,445506,0.00197515,negative
loss,PICASSO-rec only,CDL-B,123,0.1250,10,60,comb,0.82380939,0.41190469,0.50395902,0.00538418,0.82380939,4.0416,445506,0.00000000,neutral
loss,PICASSO-rec + pilot consistency,CDL-B,123,0.1250,10,60,comb,0.82563160,0.41281580,0.50461587,0.00267628,0.82563160,4.0467,445506,0.00182221,negative
loss,PICASSO-rec + frequency consistency,CDL-B,123,0.1250,10,60,comb,0.82442358,0.41221179,0.50415587,0.00436626,0.82442358,4.0587,445506,0.00061419,neutral
loss,PICASSO-rec + delay-domain sparsity,CDL-B,123,0.1250,10,60,comb,0.82374687,0.41187344,0.50394656,0.00568583,0.82374687,4.0394,445506,-0.00006252,neutral
loss,PICASSO-rec + energy preservation,CDL-B,123,0.1250,10,60,comb,0.82446425,0.41223212,0.50411101,0.00484138,0.82446425,4.0575,445506,0.00065486,neutral
loss,PICASSO-rec + pilot + frequency,CDL-B,123,0.1250,10,60,comb,0.82596055,0.41298027,0.50475600,0.00232562,0.82596055,4.0482,445506,0.00215116,negative
loss,PICASSO-rec + pilot + delay,CDL-B,123,0.1250,10,60,comb,0.82555978,0.41277989,0.50458916,0.00282458,0.82555978,4.0482,445506,0.00175039,negative
loss,PICASSO-rec-full physics,CDL-B,123,0.1250,10,60,comb,0.82646392,0.41323196,0.50475049,0.00316627,0.82646392,4.0475,445506,0.00265453,negative
loss,PICASSO-rec only,CDL-B,2026,0.1250,10,60,comb,0.81925188,0.40962594,0.50230777,0.00639557,0.81925188,4.0467,445506,0.00000000,neutral
loss,PICASSO-rec + pilot consistency,CDL-B,2026,0.1250,10,60,comb,0.82079636,0.41039818,0.50282283,0.00319999,0.82079636,4.0316,445506,0.00154448,negative
loss,PICASSO-rec + frequency consistency,CDL-B,2026,0.1250,10,60,comb,0.81945622,0.40972811,0.50234904,0.00529787,0.81945622,4.0372,445506,0.00020434,neutral
loss,PICASSO-rec + delay-domain sparsity,CDL-B,2026,0.1250,10,60,comb,0.81900352,0.40950176,0.50224146,0.00666465,0.81900352,4.0297,445506,-0.00024836,neutral
loss,PICASSO-rec + energy preservation,CDL-B,2026,0.1250,10,60,comb,0.81965660,0.40982830,0.50234498,0.00564993,0.81965660,4.0324,445506,0.00040472,neutral
loss,PICASSO-rec + pilot + frequency,CDL-B,2026,0.1250,10,60,comb,0.82120839,0.41060419,0.50297910,0.00281677,0.82120839,4.0262,445506,0.00195651,negative
loss,PICASSO-rec + pilot + delay,CDL-B,2026,0.1250,10,60,comb,0.82063635,0.41031817,0.50277190,0.00336252,0.82063635,4.0218,445506,0.00138447,negative
loss,PICASSO-rec-full physics,CDL-B,2026,0.1250,10,60,comb,0.82232633,0.41116317,0.50317640,0.00355530,0.82232633,4.0385,445506,0.00307445,negative
loss,PICASSO-rec only,CDL-C,42,0.1250,10,60,comb,0.86430368,0.43215184,0.51677588,0.00509293,0.86430368,4.0332,445506,0.00000000,neutral
loss,PICASSO-rec + pilot consistency,CDL-C,42,0.1250,10,60,comb,0.86427160,0.43213580,0.51684807,0.00236798,0.86427160,4.0887,445506,-0.00003208,neutral
loss,PICASSO-rec + frequency consistency,CDL-C,42,0.1250,10,60,comb,0.86421183,0.43210591,0.51675543,0.00406753,0.86421183,4.0708,445506,-0.00009185,neutral
loss,PICASSO-rec + delay-domain sparsity,CDL-C,42,0.1250,10,60,comb,0.86420470,0.43210235,0.51675117,0.00552437,0.86420470,4.0251,445506,-0.00009898,neutral
loss,PICASSO-rec + energy preservation,CDL-C,42,0.1250,10,60,comb,0.86466587,0.43233293,0.51683888,0.00433258,0.86466587,4.0457,445506,0.00036219,neutral
loss,PICASSO-rec + pilot + frequency,CDL-C,42,0.1250,10,60,comb,0.86420758,0.43210379,0.51687230,0.00210337,0.86420758,4.0478,445506,-0.00009610,neutral
loss,PICASSO-rec + pilot + delay,CDL-C,42,0.1250,10,60,comb,0.86413677,0.43206839,0.51680049,0.00257165,0.86413677,4.0771,445506,-0.00016691,neutral
loss,PICASSO-rec-full physics,CDL-C,42,0.1250,10,60,comb,0.86304614,0.43152307,0.51658429,0.00297456,0.86304614,4.0603,445506,-0.00125754,positive
loss,PICASSO-rec only,CDL-C,123,0.1250,10,60,comb,0.86939903,0.43469951,0.51819147,0.00513933,0.86939903,4.0876,445506,0.00000000,neutral
loss,PICASSO-rec + pilot consistency,CDL-C,123,0.1250,10,60,comb,0.86928932,0.43464466,0.51820701,0.00226568,0.86928932,4.0597,445506,-0.00010971,neutral
loss,PICASSO-rec + frequency consistency,CDL-C,123,0.1250,10,60,comb,0.86939996,0.43469998,0.51819450,0.00410837,0.86939996,4.0620,445506,0.00000093,neutral
loss,PICASSO-rec + delay-domain sparsity,CDL-C,123,0.1250,10,60,comb,0.86931197,0.43465599,0.51816459,0.00552256,0.86931197,4.1135,445506,-0.00008706,neutral
