profile,pilot_ratio,snr_db,velocity_kmh,Enhanced-DnCNN,LMMSE-like,LS,PICASSO-rec,PICASSO-rec-physics,best_method
CDL-B,0.2500,0,120,0.997173,2.206914,0.999197,0.882233,0.933588,PICASSO-rec
CDL-B,0.2500,0,60,0.996862,2.198515,0.999206,0.928384,0.936511,PICASSO-rec
CDL-B,0.2500,10,0,0.774071,1.286221,0.773949,0.775197,0.774642,LS
CDL-B,0.2500,10,120,0.773744,1.297036,0.773802,0.772180,0.773524,PICASSO-rec
CDL-B,0.2500,10,60,0.773920,1.293696,0.773881,0.772293,0.773179,PICASSO-rec
CDL-B,0.2500,30,0,0.749161,1.190119,0.749169,0.750463,0.751028,Enhanced-DnCNN
CDL-B,0.2500,30,120,0.749057,1.193182,0.749008,0.751077,0.751817,LS
CDL-B,0.2500,30,60,0.749165,1.191833,0.749094,0.751147,0.751473,LS
CDL-B,0.5000,0,0,0.994680,1.643717,0.999668,0.774013,0.826315,PICASSO-rec
CDL-B,0.5000,0,120,0.997585,1.641963,0.999670,0.741505,0.816264,PICASSO-rec
CDL-B,0.5000,0,60,0.995230,1.642962,0.999670,0.749879,0.828434,PICASSO-rec
CDL-B,0.5000,10,0,0.550322,0.866347,0.550791,0.524822,0.527538,PICASSO-rec
CDL-B,0.5000,10,120,0.550744,0.865671,0.550743,0.505150,0.526227,PICASSO-rec
CDL-B,0.5000,10,60,0.550418,0.866077,0.550774,0.516790,0.523378,PICASSO-rec
CDL-B,0.5000,30,0,0.501141,0.780698,0.501418,0.496407,0.489582,PICASSO-rec-physics
CDL-B,0.5000,30,120,0.500684,0.780497,0.501365,0.486019,0.493060,PICASSO-rec
CDL-B,0.5000,30,60,0.500255,0.780640,0.501399,0.487399,0.492363,PICASSO-rec
CDL-C,0.0625,0,0,0.999003,2.733389,0.999197,0.975943,0.986885,PICASSO-rec
CDL-C,0.0625,0,120,0.999118,2.712367,0.999200,0.980828,0.981257,PICASSO-rec
CDL-C,0.0625,0,60,0.998969,2.723725,0.999199,0.982278,0.986566,PICASSO-rec
CDL-C,0.0625,10,0,0.943928,1.826430,0.943845,0.944273,0.944155,LS
CDL-C,0.0625,10,120,0.943985,1.821624,0.943875,0.943917,0.943468,PICASSO-rec-physics
CDL-C,0.0625,10,60,0.943949,1.824138,0.943870,0.944068,0.944173,LS
CDL-C,0.0625,30,0,0.937789,1.724187,0.937755,0.938154,0.939652,LS
CDL-C,0.0625,30,120,0.937864,1.726160,0.937787,0.938260,0.939266,LS
CDL-C,0.0625,30,60,0.937770,1.724923,0.937782,0.938241,0.938150,Enhanced-DnCNN
CDL-C,0.1250,0,0,0.998156,2.514370,0.998663,0.940046,0.955220,PICASSO-rec
CDL-C,0.1250,0,120,0.997399,2.531055,0.998681,0.939041,0.954306,PICASSO-rec
CDL-C,0.1250,0,60,0.998217,2.524349,0.998672,0.947771,0.961172,PICASSO-rec
CDL-C,0.1250,10,0,0.888191,1.689485,0.888199,0.874314,0.877930,PICASSO-rec
CDL-C,0.1250,10,120,0.888017,1.695632,0.887985,0.879644,0.874078,PICASSO-rec-physics
CDL-C,0.1250,10,60,0.888139,1.692914,0.888106,0.874730,0.879459,PICASSO-rec
CDL-C,0.1250,30,0,0.876137,1.600032,0.876049,0.870943,0.868072,PICASSO-rec-physics
CDL-C,0.1250,30,120,0.875668,1.602335,0.875808,0.866387,0.870427,PICASSO-rec
CDL-C,0.1250,30,60,0.875956,1.600972,0.875944,0.871776,0.872327,PICASSO-rec
CDL-C,0.2500,0,0,0.997950,2.373401,0.999163,0.899905,0.940482,PICASSO-rec
CDL-C,0.2500,0,120,0.997243,2.384728,0.999179,0.888324,0.934268,PICASSO-rec
CDL-C,0.2500,0,60,0.996786,2.365204,0.999175,0.928456,0.939482,PICASSO-rec
CDL-C,0.2500,10,0,0.774611,1.488226,0.774506,0.775969,0.775346,LS
CDL-C,0.2500,10,120,0.774552,1.491894,0.774592,0.774085,0.775382,PICASSO-rec
CDL-C,0.2500,10,60,0.774674,1.485659,0.774589,0.774431,0.774790,PICASSO-rec
CDL-C,0.2500,30,0,0.749857,1.393918,0.749793,0.751268,0.751670,LS
CDL-C,0.2500,30,120,0.749950,1.394372,0.749887,0.752029,0.752530,LS
CDL-C,0.2500,30,60,0.750002,1.393639,0.749883,0.751865,0.752495,LS
CDL-C,0.5000,0,0,0.994919,1.686040,0.999571,0.791497,0.839065,PICASSO-rec
CDL-C,0.5000,0,120,0.997528,1.695350,0.999574,0.767127,0.834424,PICASSO-rec
CDL-C,0.5000,0,60,0.995145,1.688609,0.999572,0.772764,0.840226,PICASSO-rec
CDL-C,0.5000,10,0,0.549543,0.912011,0.549777,0.538342,0.538576,PICASSO-rec
CDL-C,0.5000,10,120,0.550004,0.915241,0.549930,0.530732,0.539543,PICASSO-rec
CDL-C,0.5000,10,60,0.549719,0.912966,0.549853,0.536305,0.537532,PICASSO-rec
CDL-C,0.5000,30,0,0.500229,0.828239,0.500303,0.499312,0.496147,PICASSO-rec-physics
CDL-C,0.5000,30,120,0.500139,0.828856,0.500474,0.496336,0.498268,PICASSO-rec
CDL-C,0.5000,30,60,0.499811,0.828481,0.500388,0.495273,0.497357,PICASSO-rec
