ablation_type,condition,method,pilot_ratio,snr_db,velocity,channel_profile,pilot_pattern,nmse,mse,mae,doppler_robustness,runtime_seconds,source_stage,reused_or_new
channel,pilot=0.2500; snr=20,DnCNN,0.2500,20,0,noisy random-path synthetic OFDM,comb,0.75289963,0.37644982,0.43938349,,0.0869,stage2bc,reused
channel,pilot=0.2500; snr=20,Enhanced-DnCNN,0.2500,20,0,noisy random-path synthetic OFDM,comb,0.75141542,0.37570771,0.43788548,,0.2325,stage2bc,reused
channel,pilot=0.2500; snr=20,PICASSO-rec,0.2500,20,0,noisy random-path synthetic OFDM,comb,0.73768012,0.36884006,0.43512716,,0.2155,stage2bc,reused
channel,pilot=0.2500; snr=20,PICASSO-rec-physics,0.2500,20,0,noisy random-path synthetic OFDM,comb,0.74291386,0.37145693,0.43730109,,0.2144,stage2bc,reused
channel,pilot=0.1250; snr=10,LS,0.1250,10,0,noisy random-path synthetic OFDM,comb,0.88731486,0.44365743,0.51722845,,0.0106,stage2bc,reused
channel,pilot=0.1250; snr=10,DnCNN,0.1250,10,0,noisy random-path synthetic OFDM,comb,0.88742131,0.44371065,0.51728091,,0.0831,stage2bc,reused
channel,pilot=0.1250; snr=10,Enhanced-DnCNN,0.1250,10,0,noisy random-path synthetic OFDM,comb,0.88743274,0.44371637,0.51729377,,0.2314,stage2bc,reused
channel,pilot=0.1250; snr=10,PICASSO-rec,0.1250,10,0,noisy random-path synthetic OFDM,comb,0.88369009,0.44184504,0.51604509,,0.2174,stage2bc,reused
channel,pilot=0.1250; snr=10,PICASSO-rec-physics,0.1250,10,0,noisy random-path synthetic OFDM,comb,0.88584292,0.44292146,0.51660700,,0.2154,stage2bc,reused
channel,pilot=0.1250; snr=20,LS,0.1250,20,0,noisy random-path synthetic OFDM,comb,0.87582076,0.43791038,0.50178413,,0.0108,stage2bc,reused
channel,pilot=0.1250; snr=20,DnCNN,0.1250,20,0,noisy random-path synthetic OFDM,comb,0.87531459,0.43765730,0.50167675,,0.0809,stage2bc,reused
channel,pilot=0.1250; snr=20,Enhanced-DnCNN,0.1250,20,0,noisy random-path synthetic OFDM,comb,0.87567917,0.43783958,0.50174798,,0.2281,stage2bc,reused
channel,pilot=0.1250; snr=20,PICASSO-rec,0.1250,20,0,noisy random-path synthetic OFDM,comb,0.86813045,0.43406522,0.50028996,,0.2153,stage2bc,reused
channel,pilot=0.1250; snr=20,PICASSO-rec-physics,0.1250,20,0,noisy random-path synthetic OFDM,comb,0.87595309,0.43797655,0.50339100,,0.2180,stage2bc,reused
channel,pilot=0.0625; snr=10,LS,0.0625,10,0,noisy random-path synthetic OFDM,comb,0.94380659,0.47190329,0.54137406,,0.0098,stage2bc,reused
channel,pilot=0.0625; snr=10,DnCNN,0.0625,10,0,noisy random-path synthetic OFDM,comb,0.94366735,0.47183368,0.54133227,,0.0848,stage2bc,reused
channel,pilot=0.0625; snr=10,Enhanced-DnCNN,0.0625,10,0,noisy random-path synthetic OFDM,comb,0.94389826,0.47194913,0.54140143,,0.2289,stage2bc,reused
channel,pilot=0.0625; snr=10,PICASSO-rec,0.0625,10,0,noisy random-path synthetic OFDM,comb,0.94350922,0.47175461,0.54124312,,0.2145,stage2bc,reused
channel,pilot=0.0625; snr=10,PICASSO-rec-physics,0.0625,10,0,noisy random-path synthetic OFDM,comb,0.94052792,0.47026396,0.54019094,,0.2169,stage2bc,reused
channel,pilot=0.0625; snr=20,LS,0.0625,20,0,noisy random-path synthetic OFDM,comb,0.93809909,0.46904954,0.53367727,,0.0112,stage2bc,reused
