method,overall_nmse,gap_vs_ls,gap_vs_dncnn,gap_vs_enhanced_dncnn
PICASSO-rec,0.89559736,-0.01559848,-0.00281267,-0.00201718
PICASSO-rec-physics,0.89635902,-0.01483682,-0.00205101,-0.00125552
PICASSO-cond-full,0.89640709,-0.01478875,-0.00200294,-0.00120745
PICASSO-full,0.89647962,-0.01471622,-0.00193041,-0.00113492
Enhanced-DnCNN,0.89761454,-0.01358130,-0.00079549,0.00000000
DnCNN,0.89841003,-0.01278581,0.00000000,0.00079549
LS,0.91119584,0.00000000,0.01278581,0.01358130
