method,overall_nmse,gap_vs_ls,gap_vs_dncnn,gap_vs_enhanced_dncnn
PICASSO-full,0.85438569,-0.00776029,-0.00736204,-0.00751788
PICASSO-cond-full,0.85484274,-0.00730324,-0.00690499,-0.00706083
PICASSO-rec,0.85754549,-0.00460049,-0.00420224,-0.00435808
PICASSO-rec-adv,0.85757674,-0.00456924,-0.00417099,-0.00432683
PICASSO-rec-physics,0.86002412,-0.00212186,-0.00172361,-0.00187945
Cond-DnCNN,0.86170453,-0.00044145,-0.00004320,-0.00019904
DnCNN,0.86174773,-0.00039825,0.00000000,-0.00015584
Enhanced-DnCNN,0.86190357,-0.00024241,0.00015584,0.00000000
LS,0.86214598,0.00000000,0.00039825,0.00024241
